fy,month,year,ministry,allocated,designated
2018-2019,Oct,2018,Executive Committee and SBC Operating,432193.65,24881.95
2018-2019,Oct,2018,Miscellaneous,0.0,0.0
2018-2019,Nov,2018,International Mission Board,8610671.24,2010510.47
2018-2019,Nov,2018,North American Mission Board,3892822.83,1081326.61
2018-2019,Nov,2018,Gateway Seminary,344412.58,957.75
2018-2019,Nov,2018,Midwestern Seminary,552039.98,1289.3
2018-2019,Nov,2018,New Orleans Seminary,620330.49,1371.62
2018-2019,Nov,2018,Southeastern Seminary,665449.19,2265.37
2018-2019,Nov,2018,Southern Seminary,898739.18,3474.16
2018-2019,Nov,2018,Southwestern Seminary,663244.3,7757.14
2018-2019,Nov,2018,Historical Library and Archives,40995.07,56.43
2018-2019,Nov,2018,Ethics & Religious Liberty Comm,281841.06,818.49
2018-2019,Nov,2018,GuideStone Financial Resources,0.0,1958.42
2018-2019,Nov,2018,Executive Committee and SBC Operating,510730.16,24740.44
2018-2019,Nov,2018,Miscellaneous,0.0,0.0
2018-2019,Dec,2018,International Mission Board,7450265.94,2817597.85
2018-2019,Dec,2018,North American Mission Board,3368211.88,890100.82
2018-2019,Dec,2018,Gateway Seminary,297998.29,1151.56
2018-2019,Dec,2018,Midwestern Seminary,477645.07,1667.92
2018-2019,Dec,2018,New Orleans Seminary,536732.5,1723.07
2018-2019,Dec,2018,Southeastern Seminary,575770.84,4376.01
2018-2019,Dec,2018,Southern Seminary,777621.83,5487.99
2018-2019,Dec,2018,Southwestern Seminary,573863.07,2590.91
2018-2019,Dec,2018,Historical Library and Archives,35470.42,91.35
2018-2019,Dec,2018,Ethics & Religious Liberty Comm,243859.13,927.01
2018-2019,Dec,2018,GuideStone Financial Resources,0.0,6815.26
2018-2019,Dec,2018,Executive Committee and SBC Operating,441902.3,20593.89
2018-2019,Dec,2018,Miscellaneous,0.0,0.0
2018-2019,Jan,2019,International Mission Board,9191463.21,20253480.96
2018-2019,Jan,2019,North American Mission Board,4155394.67,2250663.97
2018-2019,Jan,2019,Gateway Seminary,367643.3,1056.91
2018-2019,Jan,2019,Midwestern Seminary,589275.22,1945.63
2018-2019,Jan,2019,New Orleans Seminary,662171.93,1418.43
2018-2019,Jan,2019,Southeastern Seminary,710333.89,2331.26
2018-2019,Jan,2019,Southern Seminary,959359.35,4019.07
2018-2019,Jan,2019,Southwestern Seminary,707980.27,2889.74
2018-2019,Jan,2019,Historical Library and Archives,43760.19,33.93
2018-2019,Jan,2019,Ethics & Religious Liberty Comm,300851.31,696.36
2018-2019,Jan,2019,GuideStone Financial Resources,0.0,5061.89
2018-2019,Jan,2019,Executive Committee and SBC Operating,545179.03,24300.23
2018-2019,Jan,2019,Miscellaneous,0.0,0.0
2018-2019,Feb,2019,International Mission Board,10647158.26,54662720.76
2018-2019,Feb,2019,North American Mission Board,4813503.99,2522909.66
2018-2019,Feb,2019,Gateway Seminary,425868.69,631.01
2018-2019,Feb,2019,Midwestern Seminary,682601.49,1018.9
2018-2019,Feb,2019,New Orleans Seminary,767043.19,732.87
2018-2019,Feb,2019,Southeastern Seminary,822832.8,1219.07
2018-2019,Feb,2019,Southern Seminary,1111297.59,1344.37
2018-2019,Feb,2019,Southwestern Seminary,820106.44,1623.22
2018-2019,Feb,2019,Historical Library and Archives,50690.7,45.39
2018-2019,Feb,2019,Ethics & Religious Liberty Comm,348498.53,172.69
2018-2019,Feb,2019,GuideStone Financial Resources,0.0,2019.05
2018-2019,Feb,2019,Executive Committee and SBC Operating,631521.58,369376.05
2018-2019,Feb,2019,Miscellaneous,0.0,0.0
2018-2019,Mar,2019,International Mission Board,7595066.24,24087605.58
2018-2019,Mar,2019,North American Mission Board,3433675.06,1553265.97
2018-2019,Mar,2019,Gateway Seminary,303790.06,796.19
2018-2019,Mar,2019,Midwestern Seminary,486928.39,929.77
2018-2019,Mar,2019,New Orleans Seminary,547164.21,1315.33
2018-2019,Mar,2019,Southeastern Seminary,586961.28,2273.6
2018-2019,Mar,2019,Southern Seminary,792735.35,3213.13
2018-2019,Mar,2019,Southwestern Seminary,585016.45,1747.4
2018-2019,Mar,2019,Historical Library and Archives,36159.8,53.84
2018-2019,Mar,2019,Ethics & Religious Liberty Comm,248598.69,754.12
2018-2019,Mar,2019,GuideStone Financial Resources,0.0,2801.47
2018-2019,Mar,2019,Executive Committee and SBC Operating,450490.94,29425.59
2018-2019,Mar,2019,Miscellaneous,0.0,0.0
2018-2019,Apr,2019,International Mission Board,7788214.18,9168981.14
2018-2019,Apr,2019,North American Mission Board,3520995.85,3853949.84
2018-2019,Apr,2019,Gateway Seminary,311515.67,957.77
2018-2019,Apr,2019,Midwestern Seminary,499311.33,1145.84
2018-2019,Apr,2019,New Orleans Seminary,561078.99,1535.83
2018-2019,Apr,2019,Southeastern Seminary,601888.12,2308.9
2018-2019,Apr,2019,Southern Seminary,812895.18,2542.82
2018-2019,Apr,2019,Southwestern Seminary,599893.83,2049.0
2018-2019,Apr,2019,Historical Library and Archives,37079.37,49.9
2018-2019,Apr,2019,Ethics & Religious Liberty Comm,254920.72,576.44
2018-2019,Apr,2019,GuideStone Financial Resources,0.0,1927.03
2018-2019,Apr,2019,Executive Committee and SBC Operating,461947.23,54190.91
2018-2019,Apr,2019,Miscellaneous,0.0,0.0
2018-2019,May,2019,International Mission Board,8892063.54,6438696.67
2018-2019,May,2019,North American Mission Board,4020038.25,11475511.38
2018-2019,May,2019,Gateway Seminary,355667.82,973.8
2018-2019,May,2019,Midwestern Seminary,570080.37,1477.7
2018-2019,May,2019,New Orleans Seminary,640602.56,1366.74
2018-2019,May,2019,Southeastern Seminary,687195.72,2421.64
2018-2019,May,2019,Southern Seminary,928109.51,2304.83
2018-2019,May,2019,Southwestern Seminary,684918.78,10728.47
2018-2019,May,2019,Historical Library and Archives,42334.76,61.39
2018-2019,May,2019,Ethics & Religious Liberty Comm,291051.47,1096.37
2018-2019,May,2019,GuideStone Financial Resources,0.0,1685.15
2018-2019,May,2019,Executive Committee and SBC Operating,527420.55,50242.04
2018-2019,May,2019,Miscellaneous,0.0,0.0
2018-2019,Jun,2019,International Mission Board,7941803.32,3168427.1
2018-2019,Jun,2019,North American Mission Board,3590432.4,20298822.37
2018-2019,Jun,2019,Gateway Seminary,317658.97,963.9
2018-2019,Jun,2019,Midwestern Seminary,509158.09,1120.49
2018-2019,Jun,2019,New Orleans Seminary,572143.86,1221.76
2018-2019,Jun,2019,Southeastern Seminary,613757.79,6522.01
2018-2019,Jun,2019,Southern Seminary,828926.05,1846.55
2018-2019,Jun,2019,Southwestern Seminary,611724.16,1717.2
2018-2019,Jun,2019,Historical Library and Archives,37810.6,43.99
2018-2019,Jun,2019,Ethics & Religious Liberty Comm,259947.93,3525.52
2018-2019,Jun,2019,GuideStone Financial Resources,0.0,1506.2
2018-2019,Jun,2019,Executive Committee and SBC Operating,471057.17,42758.98
2018-2019,Jun,2019,Miscellaneous,0.0,0.0
2018-2019,Jul,2019,International Mission Board,7271725.23,2274543.16
2018-2019,Jul,2019,North American Mission Board,3287494.88,8094740.58
2018-2019,Jul,2019,Gateway Seminary,290856.95,1604.91
2018-2019,Jul,2019,Midwestern Seminary,466198.62,2132.56
2018-2019,Jul,2019,New Orleans Seminary,523870.06,2581.94
2018-2019,Jul,2019,Southeastern Seminary,561972.85,3319.98
2018-2019,Jul,2019,Southern Seminary,758986.63,4088.17
2018-2019,Jul,2019,Southwestern Seminary,560110.83,3814.8
2018-2019,Jul,2019,Historical Library and Archives,34620.39,59.74
2018-2019,Jul,2019,Ethics & Religious Liberty Comm,238015.2,1167.58
2018-2019,Jul,2019,GuideStone Financial Resources,0.0,1719.7
2018-2019,Jul,2019,Executive Committee and SBC Operating,431312.4,56253.19
2018-2019,Jul,2019,Miscellaneous,0.0,0.0
2018-2019,Aug,2019,International Mission Board,8805061.5,2583909.33
2018-2019,Aug,2019,North American Mission Board,3980705.26,3596899.06
2018-2019,Aug,2019,Gateway Seminary,352187.88,892.85
2018-2019,Aug,2019,Midwestern Seminary,564502.57,1038.35
2018-2019,Aug,2019,New Orleans Seminary,634334.78,1106.58
2018-2019,Aug,2019,Southeastern Seminary,680472.03,1690.35
2018-2019,Aug,2019,Southern Seminary,919028.68,1775.61
2018-2019,Aug,2019,Southwestern Seminary,678217.37,1470.05
2018-2019,Aug,2019,Historical Library and Archives,41920.54,44.92
2018-2019,Aug,2019,Ethics & Religious Liberty Comm,288203.77,483.64
2018-2019,Aug,2019,GuideStone Financial Resources,0.0,5851.12
2018-2019,Aug,2019,Executive Committee and SBC Operating,522260.15,47909.64
2018-2019,Aug,2019,Miscellaneous,0.0,0.0
2018-2019,Sep,2019,International Mission Board,7774054.32,2386414.31
2018-2019,Sep,2019,North American Mission Board,3477668.28,1919951.71
2018-2019,Sep,2019,Gateway Seminary,307682.32,1245.75
2018-2019,Sep,2019,Midwestern Seminary,493167.05,1589.57
2018-2019,Sep,2019,New Orleans Seminary,554174.65,1852.56
2018-2019,Sep,2019,Southeastern Seminary,594481.6,4515.37
2018-2019,Sep,2019,Southern Seminary,802892.12,5260.48
2018-2019,Sep,2019,Southwestern Seminary,592511.85,8586.54
2018-2019,Sep,2019,Historical Library and Archives,36623.1,44.78
2018-2019,Sep,2019,Ethics & Religious Liberty Comm,251783.8,2295.85
2018-2019,Sep,2019,GuideStone Financial Resources,0.0,4648.41
2018-2019,Sep,2019,Executive Committee and SBC Operating,374584.83,36791.08
2018-2019,Sep,2019,Miscellaneous,0.0,0.0
2017-2018,Oct,2017,International Mission Board,7619290.57,1816319.64
2017-2018,Oct,2017,North American Mission Board,3444626.69,1776860.17
2017-2018,Oct,2017,Gateway Seminary,319092.35,1294.15
2017-2018,Oct,2017,Midwestern Seminary,443084.6,1359.89
2017-2018,Oct,2017,New Orleans Seminary,561627.62,1741.62
2017-2018,Oct,2017,Southeastern Seminary,608669.59,2287.93
2017-2018,Oct,2017,Southern Seminary,782115.76,3317.68
2017-2018,Oct,2017,Southwestern Seminary,598539.39,2515.71
2017-2018,Oct,2017,Historical Library and Archives,36275.15,68.29
2017-2018,Oct,2017,Ethics & Religious Liberty Comm,249391.58,869.91
2017-2018,Oct,2017,GuideStone Financial Resources,0.0,3556.86
2017-2018,Oct,2017,Executive Committee and SBC Operating,451927.78,15564.08
2017-2018,Oct,2017,Miscellaneous,0.0,0.0
2017-2018,Nov,2017,International Mission Board,7597237.98,2292495.64
2017-2018,Nov,2017,North American Mission Board,3434656.87,1209029.41
2017-2018,Nov,2017,Gateway Seminary,318168.8,1008.11
2017-2018,Nov,2017,Midwestern Seminary,441802.18,997.37
2017-2018,Nov,2017,New Orleans Seminary,560002.1,1323.88
2017-2018,Nov,2017,Southeastern Seminary,606907.9,2224.84
2017-2018,Nov,2017,Southern Seminary,779852.06,4942.24
2017-2018,Nov,2017,Southwestern Seminary,596807.04,1934.84
2017-2018,Nov,2017,Historical Library and Archives,36170.14,292.59
2017-2018,Nov,2017,Ethics & Religious Liberty Comm,248669.76,1114.85
2017-2018,Nov,2017,GuideStone Financial Resources,0.0,1882.31
2017-2018,Nov,2017,Executive Committee and SBC Operating,450619.74,15076.16
2017-2018,Nov,2017,Miscellaneous,0.0,0.0
2017-2018,Dec,2017,International Mission Board,8087624.07,3318659.47
2017-2018,Dec,2017,North American Mission Board,3656356.9,1102533.32
2017-2018,Dec,2017,Gateway Seminary,338705.94,1189.63
2017-2018,Dec,2017,Midwestern Seminary,470319.6,1913.9
2017-2018,Dec,2017,New Orleans Seminary,596149.08,1470.28
2017-2018,Dec,2017,Southeastern Seminary,646082.56,11595.79
2017-2018,Dec,2017,Southern Seminary,830189.92,4858.92
2017-2018,Dec,2017,Southwestern Seminary,635329.7,2012.65
2017-2018,Dec,2017,Historical Library and Archives,38504.84,36.26
2017-2018,Dec,2017,Ethics & Religious Liberty Comm,264720.88,1189.69
2017-2018,Dec,2017,GuideStone Financial Resources,0.0,2770.02
2017-2018,Dec,2017,Executive Committee and SBC Operating,479706.32,14052.78
2017-2018,Dec,2017,Miscellaneous,0.0,0.0
2017-2018,Jan,2018,International Mission Board,10252643.08,22864344.33
2017-2018,Jan,2018,North American Mission Board,4635146.53,2152934.92
2017-2018,Jan,2018,Gateway Seminary,429375.93,2095.77
2017-2018,Jan,2018,Midwestern Seminary,596221.95,2553.74
2017-2018,Jan,2018,New Orleans Seminary,755735.4,3063.05
2017-2018,Jan,2018,Southeastern Seminary,819035.84,3820.4
2017-2018,Jan,2018,Southern Seminary,1052427.86,7409.2
2017-2018,Jan,2018,Southwestern Seminary,805404.49,8788.51
2017-2018,Jan,2018,Historical Library and Archives,48812.43,117.14
2017-2018,Jan,2018,Ethics & Religious Liberty Comm,335585.42,1197.07
2017-2018,Jan,2018,GuideStone Financial Resources,0.0,7583.51
2017-2018,Jan,2018,Executive Committee and SBC Operating,608121.47,18876.65
2017-2018,Jan,2018,Miscellaneous,0.0,0.0
2017-2018,Feb,2018,International Mission Board,9428976.85,49764117.37
2017-2018,Feb,2018,North American Mission Board,4262772.91,2429334.56
2017-2018,Feb,2018,Gateway Seminary,394881.17,616.74
2017-2018,Feb,2018,Midwestern Seminary,548323.29,680.48
2017-2018,Feb,2018,New Orleans Seminary,695021.91,704.36
2017-2018,Feb,2018,Southeastern Seminary,753236.98,1568.16
2017-2018,Feb,2018,Southern Seminary,967879.01,3048.79
2017-2018,Feb,2018,Southwestern Seminary,740700.73,2105.06
2017-2018,Feb,2018,Historical Library and Archives,44890.98,28.89
2017-2018,Feb,2018,Ethics & Religious Liberty Comm,308625.5,285.65
2017-2018,Feb,2018,GuideStone Financial Resources,0.0,4072.01
2017-2018,Feb,2018,Executive Committee and SBC Operating,559266.83,62677.76
2017-2018,Feb,2018,Miscellaneous,0.0,0.0
2017-2018,Mar,2018,International Mission Board,7780538.81,27007524.4
2017-2018,Mar,2018,North American Mission Board,3517525.87,1494968.91
2017-2018,Mar,2018,Gateway Seminary,325845.36,970.96
2017-2018,Mar,2018,Midwestern Seminary,452461.67,1319.79
2017-2018,Mar,2018,New Orleans Seminary,573513.44,1383.32
2017-2018,Mar,2018,Southeastern Seminary,621550.96,2077.43
2017-2018,Mar,2018,Southern Seminary,798667.8,4034.15
2017-2018,Mar,2018,Southwestern Seminary,611206.38,1907.49
2017-2018,Mar,2018,Historical Library and Archives,37042.84,50.39
2017-2018,Mar,2018,Ethics & Religious Liberty Comm,254669.49,867.7
2017-2018,Mar,2018,GuideStone Financial Resources,0.0,2205.92
2017-2018,Mar,2018,Executive Committee and SBC Operating,461491.99,376255.73
2017-2018,Mar,2018,Miscellaneous,0.0,0.0
2017-2018,Apr,2018,International Mission Board,8206595.55,10481176.6
2017-2018,Apr,2018,North American Mission Board,3710143.08,4423089.32
2017-2018,Apr,2018,Gateway Seminary,343688.41,1176.65
2017-2018,Apr,2018,Midwestern Seminary,477238.15,1704.76
2017-2018,Apr,2018,New Orleans Seminary,604918.63,1460.77
2017-2018,Apr,2018,Southeastern Seminary,655586.64,16112.19
2017-2018,Apr,2018,Southern Seminary,842402.29,2862.45
2017-2018,Apr,2018,Southwestern Seminary,644675.61,11849.06
2017-2018,Apr,2018,Historical Library and Archives,39071.27,49.54
2017-2018,Apr,2018,Ethics & Religious Liberty Comm,268615.0,2787.14
2017-2018,Apr,2018,GuideStone Financial Resources,0.0,1196.19
2017-2018,Apr,2018,Executive Committee and SBC Operating,486762.96,43727.1
2017-2018,Apr,2018,Miscellaneous,0.0,0.0
2017-2018,May,2018,International Mission Board,7867861.64,4956901.06
2017-2018,May,2018,North American Mission Board,3557003.9,15532578.85
2017-2018,May,2018,Gateway Seminary,329502.39,949.49
2017-2018,May,2018,Midwestern Seminary,457539.75,1294.82
2017-2018,May,2018,New Orleans Seminary,579950.12,1445.49
2017-2018,May,2018,Southeastern Seminary,628526.78,1706.05
2017-2018,May,2018,Southern Seminary,807631.44,3239.07
2017-2018,May,2018,Southwestern Seminary,618066.09,1816.58
2017-2018,May,2018,Historical Library and Archives,37458.57,32.38
2017-2018,May,2018,Ethics & Religious Liberty Comm,257527.72,565.37
2017-2018,May,2018,GuideStone Financial Resources,0.0,1634.59
2017-2018,May,2018,Executive Committee and SBC Operating,466671.42,34386.95
2017-2018,May,2018,Miscellaneous,0.0,0.0
2017-2018,Jun,2018,International Mission Board,8466800.32,4481963.25
2017-2018,Jun,2018,North American Mission Board,3827779.78,17935849.62
2017-2018,Jun,2018,Gateway Seminary,354585.66,1456.89
2017-2018,Jun,2018,Midwestern Seminary,492369.84,1350.81
2017-2018,Jun,2018,New Orleans Seminary,624098.66,1606.71
2017-2018,Jun,2018,Southeastern Seminary,676373.19,2430.09
2017-2018,Jun,2018,Southern Seminary,869112.14,2878.97
2017-2018,Jun,2018,Southwestern Seminary,665116.19,6888.42
2017-2018,Jun,2018,Historical Library and Archives,40310.1,54.81
2017-2018,Jun,2018,Ethics & Religious Liberty Comm,277131.92,706.68
2017-2018,Jun,2018,GuideStone Financial Resources,0.0,2527.82
2017-2018,Jun,2018,Executive Committee and SBC Operating,502196.65,32897.63
2017-2018,Jun,2018,Miscellaneous,0.0,0.0
2017-2018,Jul,2018,International Mission Board,7818397.48,2500912.38
2017-2018,Jul,2018,North American Mission Board,3534641.52,5633472.11
2017-2018,Jul,2018,Gateway Seminary,327430.86,1556.23
2017-2018,Jul,2018,Midwestern Seminary,454663.27,1349.12
2017-2018,Jul,2018,New Orleans Seminary,576304.06,1994.11
2017-2018,Jul,2018,Southeastern Seminary,624575.32,2224.99
2017-2018,Jul,2018,Southern Seminary,802553.97,5572.28
2017-2018,Jul,2018,Southwestern Seminary,614180.4,2770.38
2017-2018,Jul,2018,Historical Library and Archives,37223.08,50.64
2017-2018,Jul,2018,Ethics & Religious Liberty Comm,255908.66,5863.91
2017-2018,Jul,2018,GuideStone Financial Resources,0.0,2027.44
2017-2018,Jul,2018,Executive Committee and SBC Operating,463737.52,40698.03
2017-2018,Jul,2018,Miscellaneous,0.0,0.0
2017-2018,Aug,2018,International Mission Board,7890532.74,2882527.29
2017-2018,Aug,2018,North American Mission Board,3567253.37,3022460.53
2017-2018,Aug,2018,Gateway Seminary,330451.86,1030.5
2017-2018,Aug,2018,Midwestern Seminary,458858.16,1901.46
2017-2018,Aug,2018,New Orleans Seminary,581621.24,1501.67
2017-2018,Aug,2018,Southeastern Seminary,630337.86,3454.1
2017-2018,Aug,2018,Southern Seminary,809958.61,2955.81
2017-2018,Aug,2018,Southwestern Seminary,619847.04,2095.69
2017-2018,Aug,2018,Historical Library and Archives,37566.51,52.67
2017-2018,Aug,2018,Ethics & Religious Liberty Comm,258269.77,1269.42
2017-2018,Aug,2018,GuideStone Financial Resources,0.0,3416.8
2017-2018,Aug,2018,Executive Committee and SBC Operating,468016.13,28985.53
2017-2018,Aug,2018,Miscellaneous,0.0,0.0
2017-2018,Sep,2018,International Mission Board,8331139.16,2612903.46
2017-2018,Sep,2018,North American Mission Board,3701633.89,2119198.26
2017-2018,Sep,2018,Gateway Seminary,342900.16,831.76
2017-2018,Sep,2018,Midwestern Seminary,476143.61,1404.83
2017-2018,Sep,2018,New Orleans Seminary,603531.24,1028.09
2017-2018,Sep,2018,Southeastern Seminary,654083.06,1835.56
2017-2018,Sep,2018,Southern Seminary,840470.24,3290.64
2017-2018,Sep,2018,Southwestern Seminary,643197.04,7102.33
2017-2018,Sep,2018,Historical Library and Archives,38981.67,44.76
2017-2018,Sep,2018,Ethics & Religious Liberty Comm,267998.94,859.48
2017-2018,Sep,2018,GuideStone Financial Resources,0.0,6797.23
2017-2018,Sep,2018,Executive Committee and SBC Operating,342281.21,29790.29
2017-2018,Sep,2018,EC/SBC - SBC Presidential Study on Abuse,250000.0,0.0
2016-2017,Oct,2016,International Mission Board,7722817.04,2233402.52
2016-2017,Oct,2016,North American Mission Board,3491430.28,1249252.45
2016-2017,Oct,2016,Gateway Seminary,329712.88,1127.78
2016-2017,Oct,2016,Midwestern Seminary,406243.71,1078.3
2016-2017,Oct,2016,New Orleans Seminary,585082.78,1956.53
2016-2017,Oct,2016,Southeastern Seminary,639293.64,1913.49
2016-2017,Oct,2016,Southern Seminary,773753.72,3950.77
2016-2017,Oct,2016,Southwestern Seminary,624059.47,2562.55
2016-2017,Oct,2016,Historical Library and Archives,36768.02,62.54
2016-2017,Oct,2016,Ethics & Religious Liberty Comm,252780.16,865.28
2016-2017,Oct,2016,GuideStone Financial Resources,0.0,1380.33
2016-2017,Oct,2016,Executive Committee and SBC Operating,458068.3,21084.38
2016-2017,Oct,2016,Miscellaneous,0.0,0.0
2016-2017,Nov,2016,International Mission Board,7500778.23,2389962.5
2016-2017,Nov,2016,North American Mission Board,3391048.14,986109.26
2016-2017,Nov,2016,Gateway Seminary,320233.31,1817.96
2016-2017,Nov,2016,Midwestern Seminary,394563.79,1749.03
2016-2017,Nov,2016,New Orleans Seminary,568261.05,2146.85
2016-2017,Nov,2016,Southeastern Seminary,620913.31,2660.16
2016-2017,Nov,2016,Southern Seminary,751507.51,5615.46
2016-2017,Nov,2016,Southwestern Seminary,606117.13,3059.4
2016-2017,Nov,2016,Historical Library and Archives,35710.91,48.91
2016-2017,Nov,2016,Ethics & Religious Liberty Comm,245512.49,1143.62
2016-2017,Nov,2016,GuideStone Financial Resources,0.0,396.5
2016-2017,Nov,2016,Executive Committee and SBC Operating,444898.38,25254.5
2016-2017,Nov,2016,Miscellaneous,0.0,0.0
2016-2017,Dec,2016,International Mission Board,7855207.91,2986595.07
2016-2017,Dec,2016,North American Mission Board,3551283.24,919986.77
2016-2017,Dec,2016,Gateway Seminary,335365.08,1293.29
2016-2017,Dec,2016,Midwestern Seminary,413207.86,1246.69
2016-2017,Dec,2016,New Orleans Seminary,595112.75,1836.19
2016-2017,Dec,2016,Southeastern Seminary,650252.94,6155.66
2016-2017,Dec,2016,Southern Seminary,787018.04,3600.26
2016-2017,Dec,2016,Southwestern Seminary,634757.61,3610.56
2016-2017,Dec,2016,Historical Library and Archives,37398.34,53.25
2016-2017,Dec,2016,Ethics & Religious Liberty Comm,257113.52,503.69
2016-2017,Dec,2016,GuideStone Financial Resources,0.0,931.63
2016-2017,Dec,2016,Executive Committee and SBC Operating,465920.88,21378.43
2016-2017,Dec,2016,Miscellaneous,0.0,0.0
2016-2017,Jan,2017,International Mission Board,9667818.41,24259483.94
2016-2017,Jan,2017,North American Mission Board,4370751.48,2028577.76
2016-2017,Jan,2017,Gateway Seminary,412751.49,1306.88
2016-2017,Jan,2017,Midwestern Seminary,508556.7,978.42
2016-2017,Jan,2017,New Orleans Seminary,732436.63,1841.8
2016-2017,Jan,2017,Southeastern Seminary,800300.57,1966.73
2016-2017,Jan,2017,Southern Seminary,968624.6,9207.83
2016-2017,Jan,2017,Southwestern Seminary,781229.66,2973.21
2016-2017,Jan,2017,Historical Library and Archives,46028.09,80.55
2016-2017,Jan,2017,Ethics & Religious Liberty Comm,316443.18,10089.31
2016-2017,Jan,2017,GuideStone Financial Resources,0.0,7233.01
2016-2017,Jan,2017,Executive Committee and SBC Operating,573433.39,21463.51
2016-2017,Jan,2017,Miscellaneous,0.0,0.0
2016-2017,Feb,2017,International Mission Board,8879900.55,48258681.12
2016-2017,Feb,2017,North American Mission Board,4014539.44,2428289.6
2016-2017,Feb,2017,Gateway Seminary,379112.64,718.06
2016-2017,Feb,2017,Midwestern Seminary,467109.82,764.38
2016-2017,Feb,2017,New Orleans Seminary,672743.74,839.19
2016-2017,Feb,2017,Southeastern Seminary,735076.85,1605.48
2016-2017,Feb,2017,Southern Seminary,889682.63,2588.13
2016-2017,Feb,2017,Southwestern Seminary,717560.19,1987.33
2016-2017,Feb,2017,Historical Library and Archives,42276.85,23.11
2016-2017,Feb,2017,Ethics & Religious Liberty Comm,290653.36,293.18
2016-2017,Feb,2017,GuideStone Financial Resources,0.0,476.01
2016-2017,Feb,2017,Executive Committee and SBC Operating,526699.12,20081.99
2016-2017,Feb,2017,Miscellaneous,0.0,0.0
2016-2017,Mar,2017,International Mission Board,7950824.75,25451150.51
2016-2017,Mar,2017,North American Mission Board,3594510.95,1643303.93
2016-2017,Mar,2017,Gateway Seminary,339447.29,2611.46
2016-2017,Mar,2017,Midwestern Seminary,418237.6,2709.94
2016-2017,Mar,2017,New Orleans Seminary,602356.7,3119.38
2016-2017,Mar,2017,Southeastern Seminary,658168.1,3802.99
2016-2017,Mar,2017,Southern Seminary,796597.96,4522.31
2016-2017,Mar,2017,Southwestern Seminary,642484.15,3653.03
2016-2017,Mar,2017,Historical Library and Archives,37853.55,68.78
2016-2017,Mar,2017,Ethics & Religious Liberty Comm,260243.22,718.33
2016-2017,Mar,2017,GuideStone Financial Resources,0.0,210.42
2016-2017,Mar,2017,Executive Committee and SBC Operating,471592.26,18577.87
2016-2017,Mar,2017,Miscellaneous,0.0,0.0
2016-2017,Apr,2017,International Mission Board,8325148.12,11383595.02
2016-2017,Apr,2017,North American Mission Board,3763739.83,3686014.82
2016-2017,Apr,2017,Gateway Seminary,355428.4,1080.31
2016-2017,Apr,2017,Midwestern Seminary,437928.15,1035.19
2016-2017,Apr,2017,New Orleans Seminary,630715.54,1585.67
2016-2017,Apr,2017,Southeastern Seminary,689154.52,2317.59
2016-2017,Apr,2017,Southern Seminary,834101.64,8670.0
2016-2017,Apr,2017,Southwestern Seminary,672732.18,2055.85
2016-2017,Apr,2017,Historical Library and Archives,39635.7,50.67
2016-2017,Apr,2017,Ethics & Religious Liberty Comm,272495.43,1061.93
2016-2017,Apr,2017,GuideStone Financial Resources,0.0,12714.57
2016-2017,Apr,2017,Executive Committee and SBC Operating,493794.74,27471.77
2016-2017,Apr,2017,Miscellaneous,0.0,0.0
2016-2017,May,2017,International Mission Board,7923936.46,4985122.18
2016-2017,May,2017,North American Mission Board,3582354.93,10583008.81
2016-2017,May,2017,Gateway Seminary,338299.34,1041.77
2016-2017,May,2017,Midwestern Seminary,416823.2,1188.67
2016-2017,May,2017,New Orleans Seminary,600319.64,1312.19
2016-2017,May,2017,Southeastern Seminary,655942.28,1446.08
2016-2017,May,2017,Southern Seminary,793904.01,3910.78
2016-2017,May,2017,Southwestern Seminary,640311.37,2060.54
2016-2017,May,2017,Historical Library and Archives,37725.54,72.34
2016-2017,May,2017,Ethics & Religious Liberty Comm,259363.12,754.02
2016-2017,May,2017,GuideStone Financial Resources,0.0,749.74
2016-2017,May,2017,Executive Committee and SBC Operating,469997.43,16395.14
2016-2017,May,2017,Miscellaneous,0.0,0.0
2016-2017,Jun,2017,International Mission Board,9886199.07,3705220.98
2016-2017,Jun,2017,North American Mission Board,4469479.79,22075312.74
2016-2017,Jun,2017,Gateway Seminary,422074.89,1983.08
2016-2017,Jun,2017,Midwestern Seminary,520044.19,1876.76
2016-2017,Jun,2017,New Orleans Seminary,748981.19,3173.77
2016-2017,Jun,2017,Southeastern Seminary,818378.08,7477.14
2016-2017,Jun,2017,Southern Seminary,990504.28,5526.43
2016-2017,Jun,2017,Southwestern Seminary,798876.38,9243.03
2016-2017,Jun,2017,Historical Library and Archives,47067.81,373.79
2016-2017,Jun,2017,Ethics & Religious Liberty Comm,323591.13,2049.14
2016-2017,Jun,2017,GuideStone Financial Resources,0.0,2111.04
2016-2017,Jun,2017,Executive Committee and SBC Operating,586386.33,16224.04
2016-2017,Jun,2017,Miscellaneous,0.0,0.0
2016-2017,Jul,2017,International Mission Board,7717760.81,2364009.39
2016-2017,Jul,2017,North American Mission Board,3489144.4,7242804.65
2016-2017,Jul,2017,Gateway Seminary,329497.02,1529.86
2016-2017,Jul,2017,Midwestern Seminary,405977.74,1803.26
2016-2017,Jul,2017,New Orleans Seminary,584699.72,2236.01
2016-2017,Jul,2017,Southeastern Seminary,638875.09,2605.99
2016-2017,Jul,2017,Southern Seminary,773247.14,6074.84
