fy,month,year,ministry,allocated,designated
2021-2022,Apr,2022,Midwestern Seminary,622088.63,5857.9
2021-2022,Apr,2022,New Orleans Seminary,538426.46,5105.8
2021-2022,Apr,2022,Southeastern Seminary,572430.45,5470.47
2021-2022,Apr,2022,Southern Seminary,828015.61,8122.92
2021-2022,Apr,2022,Southwestern Seminary,541597.79,14588.97
2021-2022,Apr,2022,Historical Library and Archives,37152.56,212.07
2021-2022,Apr,2022,Ethics & Religious Liberty Comm,255423.84,478.51
2021-2022,Apr,2022,GuideStone Financial Resources,0.0,1085.82
2021-2022,Apr,2022,SBC Executive Comm and SBC Operating,462858.94,36698.11
2021-2022,Apr,2022,SBC Executive Comm - Vision 2025,16667.0,0.0
2021-2022,May,2022,International Mission Board,8318440.94,5155960.86
2021-2022,May,2022,North American Mission Board,3760707.59,11525969.2
2021-2022,May,2022,Gateway Seminary,309888.0,2384.11
2021-2022,May,2022,Midwestern Seminary,663132.07,4249.23
2021-2022,May,2022,New Orleans Seminary,573950.12,3056.35
2021-2022,May,2022,Southeastern Seminary,610197.6,3726.77
2021-2022,May,2022,Southern Seminary,882645.45,5725.74
2021-2022,May,2022,Southwestern Seminary,577330.7,3429.49
2021-2022,May,2022,Historical Library and Archives,39603.76,124.94
2021-2022,May,2022,Ethics & Religious Liberty Comm,272275.89,452.64
2021-2022,May,2022,GuideStone Financial Resources,0.0,3509.27
2021-2022,May,2022,SBC Executive Comm and SBC Operating,493396.91,58818.39
2021-2022,May,2022,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Oct,2020,International Mission Board,8080903.94,3390718.96
2020-2021,Oct,2020,North American Mission Board,3653318.77,1628393.56
2020-2021,Oct,2020,Gateway Seminary,312140.87,2233.82
2020-2021,Oct,2020,Midwestern Seminary,607823.3,2228.84
2020-2021,Oct,2020,New Orleans Seminary,563177.79,3547.78
2020-2021,Oct,2020,Southeastern Seminary,601296.76,5063.84
2020-2021,Oct,2020,Southern Seminary,847036.78,5788.47
2020-2021,Oct,2020,Southwestern Seminary,582379.18,54153.91
2020-2021,Oct,2020,Historical Library and Archives,38472.86,166.35
2020-2021,Oct,2020,Ethics & Religious Liberty Comm,264500.96,2268.85
2020-2021,Oct,2020,GuideStone Financial Resources,0.0,9220.03
2020-2021,Oct,2020,SBC Executive Comm and SBC Operating,479307.78,24765.67
2020-2021,Oct,2020,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Nov,2020,International Mission Board,7905482.03,2704167.81
2020-2021,Nov,2020,North American Mission Board,3574011.78,1384225.1
2020-2021,Nov,2020,Gateway Seminary,305364.85,1455.7
2020-2021,Nov,2020,Midwestern Seminary,594628.55,2304.5
2020-2021,Nov,2020,New Orleans Seminary,550952.2,2154.36
2020-2021,Nov,2020,Southeastern Seminary,588243.69,2469.09
2020-2021,Nov,2020,Southern Seminary,828649.14,3266.5
2020-2021,Nov,2020,Southwestern Seminary,569736.77,2380.86
2020-2021,Nov,2020,Historical Library and Archives,37637.69,122.72
2020-2021,Nov,2020,Ethics & Religious Liberty Comm,258759.13,422.48
2020-2021,Nov,2020,GuideStone Financial Resources,0.0,4065.6
2020-2021,Nov,2020,SBC Executive Comm and SBC Operating,468902.86,42611.4
2020-2021,Nov,2020,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Dec,2020,International Mission Board,6925456.5,2824896.76
2020-2021,Dec,2020,North American Mission Board,3130949.27,1024087.98
2020-2021,Dec,2020,Gateway Seminary,267509.43,830.44
2020-2021,Dec,2020,Midwestern Seminary,520913.73,2885.54
2020-2021,Dec,2020,New Orleans Seminary,482651.86,1338.38
2020-2021,Dec,2020,Southeastern Seminary,515320.4,4148.48
2020-2021,Dec,2020,Southern Seminary,725923.29,1596.8
2020-2021,Dec,2020,Southwestern Seminary,499107.74,7155.08
2020-2021,Dec,2020,Historical Library and Archives,32971.83,-7.57
2020-2021,Dec,2020,Ethics & Religious Liberty Comm,226681.31,996.91
2020-2021,Dec,2020,GuideStone Financial Resources,0.0,1199.87
2020-2021,Dec,2020,SBC Executive Comm and SBC Operating,410773.98,20086.03
2020-2021,Dec,2020,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Jan,2021,International Mission Board,9722290.96,21111522.94
2020-2021,Jan,2021,North American Mission Board,4395378.07,2363280.27
2020-2021,Jan,2021,Gateway Seminary,375542.68,3296.88
2020-2021,Jan,2021,Midwestern Seminary,731283.89,6073.93
2020-2021,Jan,2021,New Orleans Seminary,677570.03,5511.57
2020-2021,Jan,2021,Southeastern Seminary,723431.7,6024.33
2020-2021,Jan,2021,Southern Seminary,1019086.23,8579.13
2020-2021,Jan,2021,Southwestern Seminary,700671.59,5680.81
2020-2021,Jan,2021,Historical Library and Archives,46287.44,266.75
2020-2021,Jan,2021,Ethics & Religious Liberty Comm,318226.2,705.55
2020-2021,Jan,2021,GuideStone Financial Resources,0.0,5184.42
2020-2021,Jan,2021,SBC Executive Comm and SBC Operating,576664.41,34847.28
2020-2021,Jan,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Feb,2021,International Mission Board,7792679.17,45768822.26
2020-2021,Feb,2021,North American Mission Board,3523014.43,2573764.81
2020-2021,Feb,2021,Gateway Seminary,301007.61,1939.75
2020-2021,Feb,2021,Midwestern Seminary,586143.82,2993.53
2020-2021,Feb,2021,New Orleans Seminary,543090.72,2938.31
2020-2021,Feb,2021,Southeastern Seminary,579850.09,3555.34
2020-2021,Feb,2021,Southern Seminary,816825.2,5071.54
2020-2021,Feb,2021,Southwestern Seminary,561607.24,3201.61
2020-2021,Feb,2021,Historical Library and Archives,37100.63,134.38
2020-2021,Feb,2021,Ethics & Religious Liberty Comm,255066.9,107.2
2020-2021,Feb,2021,GuideStone Financial Resources,0.0,1396.27
2020-2021,Feb,2021,SBC Executive Comm and SBC Operating,462212.11,18099.27
2020-2021,Feb,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Mar,2021,International Mission Board,7942962.09,26390262.15
2020-2021,Mar,2021,North American Mission Board,3590956.26,1632894.7
2020-2021,Mar,2021,Gateway Seminary,306812.59,2665.23
2020-2021,Mar,2021,Midwestern Seminary,597447.69,4732.97
2020-2021,Mar,2021,New Orleans Seminary,553564.29,4284.51
2020-2021,Mar,2021,Southeastern Seminary,591032.57,5045.51
2020-2021,Mar,2021,Southern Seminary,832577.79,7496.7
2020-2021,Mar,2021,Southwestern Seminary,572437.92,13778.14
2020-2021,Mar,2021,Historical Library and Archives,37816.13,231.98
2020-2021,Mar,2021,Ethics & Religious Liberty Comm,259985.91,3570.48
2020-2021,Mar,2021,GuideStone Financial Resources,0.0,1301.99
2020-2021,Mar,2021,SBC Executive Comm and SBC Operating,471125.94,291191.69
2020-2021,Mar,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,Apr,2021,International Mission Board,7974850.52,10860229.17
2020-2021,Apr,2021,North American Mission Board,3605372.81,3270804.83
2020-2021,Apr,2021,Gateway Seminary,308044.34,2200.11
2020-2021,Apr,2021,Midwestern Seminary,599846.26,3553.21
2020-2021,Apr,2021,New Orleans Seminary,555786.68,3175.89
2020-2021,Apr,2021,Southeastern Seminary,593405.38,4065.84
2020-2021,Apr,2021,Southern Seminary,835920.32,5943.62
2020-2021,Apr,2021,Southwestern Seminary,574736.08,3699.06
2020-2021,Apr,2021,Historical Library and Archives,37967.95,157.21
2020-2021,Apr,2021,Ethics & Religious Liberty Comm,261029.67,1315.55
2020-2021,Apr,2021,GuideStone Financial Resources,0.0,982.09
2020-2021,Apr,2021,SBC Executive Comm and SBC Operating,473017.37,39631.35
2020-2021,Apr,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2020-2021,May,2021,International Mission Board,8551769.74,5308596.22
2020-2021,May,2021,North American Mission Board,3866193.81,16634174.79
2020-2021,May,2021,Gateway Seminary,330328.98,2809.74
2020-2021,May,2021,Midwestern Seminary,643240.52,4501.81
2020-2021,May,2021,New Orleans Seminary,595993.57,4040.77
2020-2021,May,2021,Southeastern Seminary,636333.69,4755.89
2020-2021,May,2021,Southern Seminary,896392.73,6096.49
