fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Nov,2012,Mississippi,976606.99,177329.42,115785.19,44072.03,17472.2
2012-2013,Nov,2012,Missouri,576717.3,155164.51,83440.98,46236.91,25486.62
2012-2013,Nov,2012,Montana,9820.63,3047.67,883.91,1538.61,625.15
2012-2013,Nov,2012,Nevada,30340.27,5732.5,587.45,762.35,4382.7
2012-2013,Nov,2012,New England,8568.0,2295.25,1673.0,10.0,612.25
2012-2013,Nov,2012,New Mexico,84734.41,28484.73,12198.34,4823.68,11462.71
2012-2013,Nov,2012,New York,17936.37,2849.77,751.06,899.46,1199.25
2012-2013,Nov,2012,North Carolina,986720.57,247509.69,138150.55,73198.01,36161.13
2012-2013,Nov,2012,Northwest,50399.82,14263.89,7114.31,3541.0,3608.58
2012-2013,Nov,2012,Ohio,29937.88,6293.44,3267.45,1518.84,1507.15
2012-2013,Nov,2012,Oklahoma,873568.56,126989.25,75507.98,35568.91,15912.36
2012-2013,Nov,2012,Pennsylvania-South Jersey,19435.22,8428.46,5596.7,2103.7,728.06
2012-2013,Nov,2012,Puerto Rico/Virgin Islands,355.0,0.0,0.0,0.0,0.0
2012-2013,Nov,2012,South Carolina,1024336.4,251944.84,125933.82,74619.46,51391.56
2012-2013,Nov,2012,Tennessee,1353454.82,285058.74,125164.22,88437.0,71457.52
2012-2013,Nov,2012,Texas - BGCT,850897.08,398906.34,221837.81,97304.02,79764.51
2012-2013,Nov,2012,Texas - SBTC,1424270.37,436653.68,316235.89,106915.09,13502.7
2012-2013,Nov,2012,Utah - Idaho,16506.87,3710.14,1821.41,1308.73,580.0
2012-2013,Nov,2012,Virginia - BGAV,255934.06,79182.38,48358.4,25893.46,4930.52
2012-2013,Nov,2012,Virginia - SBCV,359198.25,96257.69,57675.23,12317.13,26265.33
2012-2013,Nov,2012,West Virginia,30578.88,4858.79,134.25,458.0,4266.54
2012-2013,Nov,2012,Wyoming,14245.86,1477.69,638.23,377.29,462.17
2012-2013,Nov,2012,Churches & Individuals,376693.28,105680.90000000001,3852.0,2845.0,98983.9
2012-2013,Dec,2012,Alabama,1378117.87,632184.49,288276.21,101248.92,242659.36
2012-2013,Dec,2012,Alaska,17703.88,1181.35,715.0,379.71,86.64
2012-2013,Dec,2012,Arizona,74925.76,23277.86,10679.53,5492.37,7105.96
2012-2013,Dec,2012,Arkansas,672340.23,231620.73,171275.4,31284.48,29060.85
2012-2013,Dec,2012,California,156072.53,32951.35,16613.1,7214.01,9124.24
2012-2013,Dec,2012,Colorado,39289.31,9168.78,4404.79,3448.12,1315.87
2012-2013,Dec,2012,Dakota,2947.76,691.47,320.0,50.0,321.47
2012-2013,Dec,2012,D. C.,0.0,0.0,0.0,0.0,0.0
2012-2013,Dec,2012,Florida,963401.49,137354.46,86245.74,23969.69,27139.03
2012-2013,Dec,2012,Georgia,1324826.32,334602.46,120828.42,55940.86,157833.18
2012-2013,Dec,2012,Hawaii Pacific,34732.38,8892.84,2039.0,1817.41,5036.43
2012-2013,Dec,2012,Illinois,187239.86,54528.37,27270.43,6419.26,20838.68
2012-2013,Dec,2012,Indiana,37000.0,13000.0,8000.0,1500.0,3500.0
2012-2013,Dec,2012,Iowa,8902.36,7280.59,1772.4,69.4,5438.79
2012-2013,Dec,2012,Kansas-Nebraska,50986.49,60628.59,45857.31,13193.47,1577.81
2012-2013,Dec,2012,Kentucky,778526.83,194980.99,67017.54,17549.22,110414.23
2012-2013,Dec,2012,Louisiana,622059.0,221013.22,152869.9,20500.91,47642.41
2012-2013,Dec,2012,Maryland-Delaware,135354.33,32633.84,21193.07,3969.88,7470.89
