fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2013-2014,Jun,2014,Oklahoma,816160.32,428510.4,63978.31,361248.23,3283.86
2013-2014,Jun,2014,Pennsylvania-South Jersey,14658.02,51324.41,2659.55,48046.73,618.13
2013-2014,Jun,2014,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2013-2014,Jun,2014,South Carolina,910498.91,1644397.54,209936.09,1416502.61,17958.84
2013-2014,Jun,2014,Tennessee,1217324.88,2869696.34,885588.12,1851512.7,132595.52
2013-2014,Jun,2014,Texas - BGCT,896443.06,1673795.23,298085.2,1303836.05,71873.98
2013-2014,Jun,2014,Texas - SBTC,1293249.15,1737607.51,652399.69,1065379.83,19827.99
2013-2014,Jun,2014,Utah - Idaho,8041.29,38755.59,5347.92,32576.0,831.67
2013-2014,Jun,2014,Virginia - BGAV,143636.1,395317.74,31091.03,361748.62,2478.09
2013-2014,Jun,2014,Virginia - SBCV,314940.86,339650.33,29398.06,302529.25,7723.02
2013-2014,Jun,2014,West Virginia,33390.35,37061.28,557.9,36053.64,449.74
2013-2014,Jun,2014,Wyoming,8649.83,20122.77,14800.82,5001.29,320.66
2013-2014,Jun,2014,Churches & Individuals,389474.59,186519.5,40151.29,20216.52,126151.69
2013-2014,Jul,2014,Alabama,1213850.68,1143627.92,69361.18,1026586.38,47680.36
2013-2014,Jul,2014,Alaska,15915.93,10848.12,1909.4,8918.72,20.0
2013-2014,Jul,2014,Arizona,48821.56,90048.16,13086.55,73470.81,3490.8
2013-2014,Jul,2014,Arkansas,590889.15,214778.88,100540.94,109335.39,4902.55
2013-2014,Jul,2014,California,154416.12,127304.83,15919.09,109014.8,2370.94
2013-2014,Jul,2014,Colorado,0.0,57068.27,0.0,57068.27,0.0
2013-2014,Jul,2014,Dakota,3917.16,2550.37,481.0,1861.37,208.0
2013-2014,Jul,2014,D. C.,246.0,2629.5,415.5,2107.0,107.0
2013-2014,Jul,2014,Florida,0.0,550338.72,190699.41,346814.56,12824.75
2013-2014,Jul,2014,Georgia,955188.38,1059071.35,140392.91,830346.09,88332.35
2013-2014,Jul,2014,Hawaii Pacific,30082.61,31983.85,2156.0,28998.85,829.0
2013-2014,Jul,2014,Illinois,216198.38,142429.89,34015.74,101112.07,7302.08
2013-2014,Jul,2014,Indiana,79023.37,20976.63,4836.9,9432.3,6707.43
2013-2014,Jul,2014,Iowa,6233.13,16761.75,8698.2,7369.3,694.25
2013-2014,Jul,2014,Kansas-Nebraska,47563.15,42881.39,15096.37,26968.78,816.24
2013-2014,Jul,2014,Kentucky,734857.9,383658.93,56421.93,282721.46,44515.54
2013-2014,Jul,2014,Louisiana,586829.8,195927.0,45081.85,144020.52,6824.63
2013-2014,Jul,2014,Maryland-Delaware,139599.51,63687.95,6871.71,55511.91,1304.33
2013-2014,Jul,2014,Michigan,19861.36,14175.95,3899.72,9132.29,1143.94
2013-2014,Jul,2014,Minnesota-Wisconsin,4772.2,11287.57,415.0,10806.6,65.97
2013-2014,Jul,2014,Mississippi,956013.28,1142042.9,561627.2,575844.3,4571.4
2013-2014,Jul,2014,Missouri,403209.65,309843.33,80285.42,218602.68,10955.23
2013-2014,Jul,2014,Montana,9482.85,9806.22,112.9,9643.32,50.0
2013-2014,Jul,2014,Nevada,23235.49,15526.41,1449.59,13501.82,575.0
2013-2014,Jul,2014,New England,9226.0,23504.68,3690.78,19118.84,695.06
2013-2014,Jul,2014,New Mexico,52957.84,47569.74,9259.51,32468.38,5841.85
2013-2014,Jul,2014,New York,12956.97,22784.97,568.2,21810.97,405.8
2013-2014,Jul,2014,North Carolina,782099.95,1036753.66,169940.96,857261.49,9551.21
2013-2014,Jul,2014,Northwest,55306.44,39023.14,5965.08,31267.6,1790.46
2013-2014,Jul,2014,Ohio,174619.61,62724.98,21610.57,37003.14,4111.27
2013-2014,Jul,2014,Oklahoma,870163.59,263139.26,101516.34,154443.75,7179.17
2013-2014,Jul,2014,Pennsylvania-South Jersey,16404.87,16166.69,3545.5,12566.05,55.14
2013-2014,Jul,2014,Puerto Rico/Virgin Islands,1155.54,0.0,0.0,0.0,0.0
2013-2014,Jul,2014,South Carolina,714193.39,505952.36,78123.77,400187.42,27641.17
2013-2014,Jul,2014,Tennessee,902317.17,882480.35,353622.63,473971.18,54886.54
2013-2014,Jul,2014,Texas - BGCT,923416.97,1418697.56,528097.1,834662.25,55938.21
2013-2014,Jul,2014,Texas - SBTC,1064800.85,492681.12,96696.62,273582.76,122401.74
2013-2014,Jul,2014,Utah - Idaho,31366.19,75933.71,61572.23,13182.55,1178.93
2013-2014,Jul,2014,Virginia - BGAV,0.0,0.0,0.0,0.0,0.0
2013-2014,Jul,2014,Virginia - SBCV,341003.47,209011.38,80645.08,118458.46,9907.84
2013-2014,Jul,2014,West Virginia,38980.49,11797.01,95.0,10783.22,918.79
2013-2014,Jul,2014,Wyoming,18936.99,39791.28,7079.22,32150.62,561.44
2013-2014,Jul,2014,Churches & Individuals,365929.93,284314.07,55679.16,64536.65,164098.26
2013-2014,Aug,2014,Alabama,1613135.12,536469.75,94367.42,410973.29,31129.04
2013-2014,Aug,2014,Alaska,21832.06,5036.85,364.13,4652.72,20.0
2013-2014,Aug,2014,Arizona,76664.47,27423.96,10701.51,16373.83,348.62
2013-2014,Aug,2014,Arkansas,689422.43,165192.54,92705.44,52868.77,19618.33
2013-2014,Aug,2014,California,314050.9,80127.55,23908.35,52326.19,3893.01
2013-2014,Aug,2014,Colorado,10307.57,28731.62,2000.0,26581.62,150.0
2013-2014,Aug,2014,Dakota,7739.89,1282.97,112.31,1170.66,0.0
2013-2014,Aug,2014,D. C.,3090.33,792.0,436.0,248.0,108.0
2013-2014,Aug,2014,Florida,2115833.34,261441.07,112759.7,125617.99,23063.38
2013-2014,Aug,2014,Georgia,1485476.94,583542.55,167228.57,295033.98,121280.0
2013-2014,Aug,2014,Hawaii Pacific,20448.86,9369.64,437.32,8812.32,120.0
2013-2014,Aug,2014,Illinois,200019.46,47549.05,13743.1,28567.41,5238.54
2013-2014,Aug,2014,Indiana,112704.04,31859.72,10242.93,20484.69,1132.1
2013-2014,Aug,2014,Iowa,9681.73,3726.48,930.84,1722.66,1072.98
2013-2014,Aug,2014,Kansas-Nebraska,50025.97,25432.26,8909.42,15669.11,853.73
2013-2014,Aug,2014,Kentucky,875559.85,164978.71,68169.04,74681.18,22128.49
2013-2014,Aug,2014,Louisiana,730500.62,88005.67,36849.24,43746.97,7409.46
2013-2014,Aug,2014,Maryland-Delaware,153611.06,39560.35,20841.93,12920.81,5797.61
2013-2014,Aug,2014,Michigan,31372.97,26793.85,5024.08,20130.51,1639.26
2013-2014,Aug,2014,Minnesota-Wisconsin,6813.44,5853.66,2551.33,3155.33,147.0
2013-2014,Aug,2014,Mississippi,955488.57,321408.01,137916.09,178198.36,5293.56
2013-2014,Aug,2014,Missouri,557466.39,288493.38,109603.25,147478.31,31411.82
2013-2014,Aug,2014,Montana,12012.27,1622.1,308.85,1263.25,50.0
2013-2014,Aug,2014,Nevada,22931.42,6462.07,1900.7,3985.82,575.55
2013-2014,Aug,2014,New England,12216.0,8763.35,2514.38,5962.02,286.95
2013-2014,Aug,2014,New Mexico,83151.83,43803.95,18520.42,17745.63,7537.9
2013-2014,Aug,2014,New York,15957.86,9738.8,1618.8,1760.1,6359.9
2013-2014,Aug,2014,North Carolina,1019182.79,738473.81,216276.48,484051.43,38145.9
2013-2014,Aug,2014,Northwest,63541.1,22162.76,12067.17,8472.83,1622.76
2013-2014,Aug,2014,Ohio,149214.99,28609.54,10384.23,14645.02,3580.29
2013-2014,Aug,2014,Oklahoma,859120.79,98102.71,56939.09,35449.81,5713.81
2013-2014,Aug,2014,Pennsylvania-South Jersey,21266.7,11848.88,2740.92,7335.14,1772.82
2013-2014,Aug,2014,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2013-2014,Aug,2014,South Carolina,1144889.42,374064.09,110626.19,220507.49,42930.41
2013-2014,Aug,2014,Tennessee,1294875.82,477969.6,216391.84,195206.26,66371.5
2013-2014,Aug,2014,Texas - BGCT,911100.86,476262.97,163061.36,247639.5,65562.11
2013-2014,Aug,2014,Texas - SBTC,1488948.73,461293.72,274652.92,162563.01,24077.79
2013-2014,Aug,2014,Utah - Idaho,13194.43,11973.16,2425.48,9097.68,450.0
2013-2014,Aug,2014,Virginia - BGAV,54066.59,161032.59,17096.39,139323.95,4612.25
2013-2014,Aug,2014,Virginia - SBCV,305352.06,77464.56,31146.92,36676.42,9641.22
2013-2014,Aug,2014,West Virginia,37585.94,4392.44,1849.91,2134.77,407.76
2013-2014,Aug,2014,Wyoming,13099.64,7667.35,31.52,7005.52,630.31
2013-2014,Aug,2014,Churches & Individuals,364446.85,179148.68,29275.8,4603.53,145269.35
2013-2014,Sep,2014,Alabama,1207363.34,377136.44,173516.89,173793.29,29826.26
2013-2014,Sep,2014,Alaska,17426.54,3233.05,2790.08,422.97,20.0
2013-2014,Sep,2014,Arizona,47391.34,29141.52,19851.56,7328.6,1961.36
2013-2014,Sep,2014,Arkansas,856581.57,139993.83,82447.09,26828.68,30718.06
2013-2014,Sep,2014,California,44808.39,73171.77,22776.05,46034.33,4361.39
2013-2014,Sep,2014,Colorado,96167.04,62141.99,16425.19,42216.74,3500.06
2013-2014,Sep,2014,Dakota,3634.88,725.68,107.34,618.34,0.0
2013-2014,Sep,2014,D. C.,2449.56,646.47,473.0,173.47,0.0
2013-2014,Sep,2014,Florida,896847.48,251781.15,61020.19,56903.94,133857.02
2013-2014,Sep,2014,Georgia,1762667.56,65802.85,269262.59,235570.51,-439030.25
2013-2014,Sep,2014,Hawaii Pacific,38466.63,13938.61,1152.25,10615.36,2171.0
2013-2014,Sep,2014,Illinois,194671.32,34680.28,15083.38,12146.03,7450.87
2013-2014,Sep,2014,Indiana,60472.76,4170.4,1046.49,1761.04,1362.87
2013-2014,Sep,2014,Iowa,6269.9,4158.74,1635.34,876.27,1647.13
2013-2014,Sep,2014,Kansas-Nebraska,48253.02,19304.3,10119.26,7831.96,1353.08
2013-2014,Sep,2014,Kentucky,752891.65,202614.22,118840.75,50900.27,32873.2
2013-2014,Sep,2014,Louisiana,530424.43,66114.66,37224.97,21535.18,7354.51
2013-2014,Sep,2014,Maryland-Delaware,140671.9,12854.65,5554.06,5455.28,1845.31
2013-2014,Sep,2014,Michigan,14633.68,5587.69,2965.81,2202.88,419.0
2013-2014,Sep,2014,Minnesota-Wisconsin,6697.2,2394.11,382.52,1357.16,654.43
2013-2014,Sep,2014,Mississippi,955488.57,169515.39,80370.41,81537.42,7607.56
2013-2014,Sep,2014,Missouri,406506.47,119939.95,52532.78,52980.58,14426.59
2013-2014,Sep,2014,Montana,8658.51,3957.59,286.56,3545.03,126.0
2013-2014,Sep,2014,Nevada,24182.99,4039.74,923.14,2482.5,634.1
2013-2014,Sep,2014,New England,8158.0,7068.97,3166.76,3389.3,512.91
2013-2014,Sep,2014,New Mexico,44585.47,21786.27,7068.23,5431.8,9286.24
2013-2014,Sep,2014,New York,13926.73,5074.8,453.2,4131.86,489.74
2013-2014,Sep,2014,North Carolina,740474.24,442714.88,206979.96,205567.4,30167.52
2013-2014,Sep,2014,Northwest,67322.43,12674.25,5347.86,5785.99,1540.4
2013-2014,Sep,2014,Ohio,125897.64,21295.67,11307.63,7099.82,2888.22
2013-2014,Sep,2014,Oklahoma,965725.11,121363.54,82970.87,31023.65,7369.02
2013-2014,Sep,2014,Pennsylvania-South Jersey,11784.84,5849.39,4906.43,634.72,308.24
2013-2014,Sep,2014,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2013-2014,Sep,2014,South Carolina,718561.14,169120.46,66604.62,84650.85,17864.99
2013-2014,Sep,2014,Tennessee,1002817.45,221090.42,72958.17,103198.35,44933.9
2013-2014,Sep,2014,Texas - BGCT,875712.38,289156.67,107430.17,127188.86,54537.64
2013-2014,Sep,2014,Texas - SBTC,1081469.46,156482.39,77536.73,61103.23,17842.43
2013-2014,Sep,2014,Utah - Idaho,0.0,0.0,0.0,0.0,0.0
2013-2014,Sep,2014,Virginia - BGAV,132116.71,209087.86,45047.82,159166.24,4873.8
2013-2014,Sep,2014,Virginia - SBCV,330508.28,64417.32,30948.29,24264.33,9204.7
2013-2014,Sep,2014,West Virginia,43313.28,4715.53,1874.17,1254.11,1587.25
2013-2014,Sep,2014,Wyoming,0.0,0.0,0.0,0.0,0.0
2013-2014,Sep,2014,Churches & Individuals,439719.12,850190.6,2018.78,3238.89,844932.93
2014-2015,Oct,2014,Alabama,1523261.69,192486.94,63420.8,88696.19,40369.95
2014-2015,Oct,2014,Alaska,20709.51,6663.51,375.0,6268.51,20.0
2014-2015,Oct,2014,Arizona,73750.39,11527.22,5197.94,4042.28,2287.0
2014-2015,Oct,2014,Arkansas,682612.44,181522.74,116644.38,56305.35,8573.01
2014-2015,Oct,2014,California,207516.6,34421.39,17982.4,12775.18,3663.81
2014-2015,Oct,2014,Colorado,32585.37,25807.38,21373.82,3571.0,862.56
2014-2015,Oct,2014,Dakota,4568.47,163.84,116.92,46.92,0.0
2014-2015,Oct,2014,D. C.,0.0,0.0,0.0,0.0,0.0
2014-2015,Oct,2014,Florida,1014381.72,218878.53,111924.76,74480.37,32473.4
2014-2015,Oct,2014,Georgia,1432981.38,289991.69,111660.74,101918.12,76412.83
2014-2015,Oct,2014,Hawaii Pacific,0.0,0.0,0.0,0.0,0.0
2014-2015,Oct,2014,Illinois,201088.92,26822.42,15780.6,4908.12,6133.7
2014-2015,Oct,2014,Indiana,51892.44,12678.66,3122.33,3222.06,6334.27
2014-2015,Oct,2014,Iowa,9411.33,5387.1,2289.03,2200.07,898.0
2014-2015,Oct,2014,Kansas-Nebraska,56294.63,31929.19,19440.41,11386.12,1102.66
2014-2015,Oct,2014,Kentucky,886098.78,105242.22,48716.65,27306.88,29218.69
2014-2015,Oct,2014,Louisiana,718475.01,86367.71,46206.58,25712.33,14448.8
2014-2015,Oct,2014,Maryland-Delaware,150733.82,67148.93,43537.1,19719.67,3892.16
2014-2015,Oct,2014,Michigan,0.0,0.0,0.0,0.0,0.0
2014-2015,Oct,2014,Minnesota-Wisconsin,1863.07,100.0,100.0,0.0,0.0
2014-2015,Oct,2014,Mississippi,955745.15,162850.04,104924.93,44625.46,13299.65
2014-2015,Oct,2014,Missouri,484890.75,138782.08,73474.78,46758.12,18549.18
2014-2015,Oct,2014,Montana,11363.7,2204.22,390.06,1741.16,73.0
2014-2015,Oct,2014,Nevada,26030.57,2666.7,1111.7,980.0,575.0
2014-2015,Oct,2014,New England,9195.0,10780.25,6645.0,3757.52,377.73
2014-2015,Oct,2014,New Mexico,77559.63,26731.4,13147.54,4995.94,8587.92
2014-2015,Oct,2014,New York,14903.48,2440.39,280.4,1380.15,779.84
2014-2015,Oct,2014,North Carolina,965479.24,287121.53,163576.61,106025.47,17519.45
2014-2015,Oct,2014,Northwest,53922.96,9157.13,4979.07,3112.09,1065.97
2014-2015,Oct,2014,Ohio,151204.04,40781.76,18914.86,15181.22,6685.68
2014-2015,Oct,2014,Oklahoma,747148.95,94933.99,59536.54,30035.94,5361.51
2014-2015,Oct,2014,Pennsylvania-South Jersey,17351.38,18519.21,2904.24,14493.54,1121.43
2014-2015,Oct,2014,Puerto Rico/Virgin Islands,728.34,0.0,0.0,0.0,0.0
2014-2015,Oct,2014,South Carolina,1018698.45,242926.27,119514.8,87641.75,35769.72
2014-2015,Oct,2014,Tennessee,1214973.43,218209.11,76192.93,71905.28,70110.9
2014-2015,Oct,2014,Texas - BGCT,944535.02,366325.09,205929.3,86244.7,74151.09
2014-2015,Oct,2014,Texas - SBTC,1244885.27,134684.24,84284.91,29231.64,21167.69
2014-2015,Oct,2014,Utah - Idaho,12069.14,2816.38,1168.55,909.49,738.34
2014-2015,Oct,2014,Virginia - BGAV,155443.52,89679.78,49597.08,36499.93,3582.77
2014-2015,Oct,2014,Virginia - SBCV,368428.81,78650.04,60275.14,7765.89,10609.01
2014-2015,Oct,2014,West Virginia,37238.12,2473.0,654.73,1011.56,806.71
2014-2015,Oct,2014,Wyoming,20129.79,1235.71,108.5,123.5,1003.71
2014-2015,Oct,2014,Churches & Individuals,419030.54,172102.36,3823.67,24624.07,143654.62
2014-2015,Nov,2014,Alabama,1492076.22,350884.3,113970.63,127311.69,109601.98
2014-2015,Nov,2014,Alaska,30994.61,4029.12,865.56,2733.56,430.0
2014-2015,Nov,2014,Arizona,68900.8,10477.19,6438.4,3087.67,951.12
2014-2015,Nov,2014,Arkansas,670099.97,152999.99,68711.19,35785.21,48503.59
2014-2015,Nov,2014,California,177655.11,53394.92,20472.9,25259.57,7662.45
2014-2015,Nov,2014,Colorado,50731.87,13177.7,7003.5,2888.2,3286.0
2014-2015,Nov,2014,Dakota,5940.53,1398.98,241.99,1156.99,0.0
2014-2015,Nov,2014,D. C.,2118.74,3673.89,2941.89,732.0,0.0
2014-2015,Nov,2014,Florida,1057214.24,150208.53,73105.11,50451.37,26652.05
2014-2015,Nov,2014,Georgia,1454549.18,361354.4,134760.33,130942.43,95651.64
2014-2015,Nov,2014,Hawaii Pacific,60116.54,22644.75,2836.32,14545.43,5263.0
2014-2015,Nov,2014,Illinois,157804.15,41150.84,11084.22,10309.07,19757.55
2014-2015,Nov,2014,Indiana,0.0,8074.28,5835.81,1092.37,1146.1
2014-2015,Nov,2014,Iowa,7950.65,1699.18,482.66,924.66,291.86
2014-2015,Nov,2014,Kansas-Nebraska,38068.99,16518.97,9366.41,4862.5,2290.06
2014-2015,Nov,2014,Kentucky,867096.8,123017.65,69757.52,18751.67,34508.46
2014-2015,Nov,2014,Louisiana,527486.11,105485.84,53473.54,26068.89,25943.41
2014-2015,Nov,2014,Maryland-Delaware,157785.86,33140.84,17644.21,4735.12,10761.51
2014-2015,Nov,2014,Michigan,21844.18,6894.58,3997.04,2443.0,454.54
2014-2015,Nov,2014,Minnesota-Wisconsin,7034.1,504.0,399.0,105.0,0.0
2014-2015,Nov,2014,Mississippi,955911.65,135961.78,82107.96,31836.16,22017.66
2014-2015,Nov,2014,Missouri,588455.91,219113.72,114342.75,41911.79,62859.18
2014-2015,Nov,2014,Montana,12181.01,565.5,208.9,197.6,159.0
2014-2015,Nov,2014,Nevada,28887.42,453.89,259.1,108.79,86.0
2014-2015,Nov,2014,New England,7837.0,8213.85,6541.11,1420.25,252.49
2014-2015,Nov,2014,New Mexico,88905.06,37913.01,21587.81,7408.75,8916.45
2014-2015,Nov,2014,New York,15776.71,3745.74,1426.24,547.36,1772.14
2014-2015,Nov,2014,North Carolina,994355.3,305075.58,158343.41,107214.9,39517.27
2014-2015,Nov,2014,Northwest,63819.15,16597.25,4762.72,1613.94,10220.59
2014-2015,Nov,2014,Ohio,131135.1,17771.03,8268.61,3954.58,5547.84
2014-2015,Nov,2014,Oklahoma,858112.61,0.0,0.0,0.0,0.0
2014-2015,Nov,2014,Pennsylvania-South Jersey,20536.5,15563.16,12223.12,2586.18,753.86
2014-2015,Nov,2014,Puerto Rico/Virgin Islands,1501.47,6940.86,3320.55,3620.31,0.0
2014-2015,Nov,2014,South Carolina,974246.54,284297.23,150126.65,87155.5,47015.08
2014-2015,Nov,2014,Tennessee,1328376.85,322314.45,173224.73,59286.81,89802.91
2014-2015,Nov,2014,Texas - BGCT,710492.97,468426.83,262470.15,149337.83,56618.85
2014-2015,Nov,2014,Texas - SBTC,1385268.2,318026.64,218976.18,77165.11,21885.35
2014-2015,Nov,2014,Utah - Idaho,10383.53,1509.43,939.29,245.14,325.0
2014-2015,Nov,2014,Virginia - BGAV,139080.36,96439.05,50340.86,40565.15,5533.04
2014-2015,Nov,2014,Virginia - SBCV,307756.22,62135.21,27632.97,6528.13,27974.11
2014-2015,Nov,2014,West Virginia,30467.3,2323.92,217.61,101.0,2005.31
2014-2015,Nov,2014,Wyoming,10301.59,5314.77,28.3,4883.52,402.95
2014-2015,Nov,2014,Churches & Individuals,420921.01,122788.74,20943.91,1918.66,99926.17
2014-2015,Dec,2014,Alabama,1071954.28,278828.95,53889.64,40982.09,183957.22
2014-2015,Dec,2014,Alaska,17828.74,2646.76,1303.38,1203.38,140.0
2014-2015,Dec,2014,Arizona,41851.56,7480.43,4691.22,1342.22,1446.99
2014-2015,Dec,2014,Arkansas,794478.69,297756.29,213856.84,48985.47,34913.98
2014-2015,Dec,2014,California,159235.98,39594.99,14409.51,18545.19,6640.29
2014-2015,Dec,2014,Colorado,34561.71,9053.37,6422.4,1915.4,715.57
2014-2015,Dec,2014,Dakota,3157.53,545.3,280.15,265.15,0.0
2014-2015,Dec,2014,D. C.,2021.13,187.17,148.0,39.17,0.0
2014-2015,Dec,2014,Florida,699605.55,220698.52,80757.42,39797.89,100143.21
2014-2015,Dec,2014,Georgia,1050741.43,303553.97,155296.23,38653.74,109604.0
2014-2015,Dec,2014,Hawaii Pacific,64379.95,13376.04,1280.31,4516.66,7579.07
2014-2015,Dec,2014,Illinois,216844.97,79442.48,46314.45,11678.63,21449.4
2014-2015,Dec,2014,Indiana,0.0,14960.71,6749.39,3833.76,4377.56
2014-2015,Dec,2014,Iowa,5487.36,2462.26,1062.48,374.62,1025.16
2014-2015,Dec,2014,Kansas-Nebraska,57632.52,47509.88,30649.17,7905.12,8955.59
2014-2015,Dec,2014,Kentucky,657490.47,139429.13,37015.11,24963.95,77450.07
2014-2015,Dec,2014,Louisiana,558507.73,154740.31,117186.15,19108.04,18446.12
2014-2015,Dec,2014,Maryland-Delaware,124285.55,39109.13,23628.35,1782.99,13697.79
2014-2015,Dec,2014,Michigan,24668.54,8502.59,5285.6,1792.04,1424.95
2014-2015,Dec,2014,Minnesota-Wisconsin,0.0,0.0,0.0,0.0,0.0
2014-2015,Dec,2014,Mississippi,945519.25,161290.67,64911.51,24271.5,72107.66
2014-2015,Dec,2014,Missouri,373252.99,153244.62,64395.61,33135.53,55713.48
2014-2015,Dec,2014,Montana,10981.53,1853.05,365.74,978.64,508.67
2014-2015,Dec,2014,Nevada,20179.83,10507.9,1337.52,6962.18,2208.2
2014-2015,Dec,2014,New England,9317.0,3274.35,2679.52,259.77,335.06
2014-2015,Dec,2014,New Mexico,41924.3,23332.09,10939.97,4430.78,7961.34
2014-2015,Dec,2014,New York,14399.14,11018.72,5383.78,1310.85,4324.09
2014-2015,Dec,2014,North Carolina,593462.86,263324.08,128219.48,65375.56,69729.04
2014-2015,Dec,2014,Northwest,63596.85,17625.73,13568.15,1955.28,2102.3
2014-2015,Dec,2014,Ohio,122315.24,57194.13,45838.64,5722.02,5633.47
2014-2015,Dec,2014,Oklahoma,810208.1,463504.41,358918.44,71864.95,32721.02
2014-2015,Dec,2014,Pennsylvania-South Jersey,15885.62,4144.49,1762.0,1675.0,707.49
2014-2015,Dec,2014,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2014-2015,Dec,2014,South Carolina,709656.6,271594.56,133551.54,24117.21,113925.81
2014-2015,Dec,2014,Tennessee,958845.81,287349.35,134482.78,54292.58,98573.99
2014-2015,Dec,2014,Texas - BGCT,883448.22,297312.44,109985.95,126255.63,61070.86
2014-2015,Dec,2014,Texas - SBTC,1092493.51,147449.34,90636.01,34307.73,22505.6
2014-2015,Dec,2014,Utah - Idaho,11320.1,1576.94,292.63,77.64,1206.67
2014-2015,Dec,2014,Virginia - BGAV,144074.66,34834.67,20718.85,11600.22,2515.6
2014-2015,Dec,2014,Virginia - SBCV,296448.99,131156.35,103432.39,13379.57,14344.39
2014-2015,Dec,2014,West Virginia,41570.23,7273.01,4173.27,372.47,2727.27
2014-2015,Dec,2014,Wyoming,12045.41,7338.03,234.75,5764.16,1339.12
2014-2015,Dec,2014,Churches & Individuals,478941.82,149698.96,28831.35,9187.46,111680.15
2014-2015,Jan,2015,Alabama,2082662.14,2948252.82,2507218.01,283673.79,157361.02
2014-2015,Jan,2015,Alaska,26146.29,45301.86,44056.16,302.46,943.24
2014-2015,Jan,2015,Arizona,111165.36,148989.52,145266.4,0.0,3723.12
2014-2015,Jan,2015,Arkansas,615944.45,1651001.21,1507185.42,119038.12,24777.67
2014-2015,Jan,2015,California,209701.93,227088.11,212447.02,8400.96,6240.13
2014-2015,Jan,2015,Colorado,107690.66,116156.65,110580.51,3080.39,2495.75
2014-2015,Jan,2015,Dakota,4392.5,10178.56,9540.7,37.86,600.0
2014-2015,Jan,2015,D. C.,960.37,288.0,96.0,96.0,96.0
2014-2015,Jan,2015,Florida,1253108.57,540905.28,489110.26,33443.36,18351.66
2014-2015,Jan,2015,Georgia,2612409.02,3558405.56,3121436.39,218573.05,218396.12
2014-2015,Jan,2015,Hawaii Pacific,29616.07,25862.27,20387.19,2901.96,2573.12
2014-2015,Jan,2015,Illinois,215754.19,501620.68,454622.23,33583.93,13414.52
2014-2015,Jan,2015,Indiana,153277.78,111645.56,99167.05,6672.89,5805.62
2014-2015,Jan,2015,Iowa,16920.86,22211.26,16980.51,3369.52,1861.23
2014-2015,Jan,2015,Kansas-Nebraska,65587.3,255102.46,225511.15,27577.69,2013.62
2014-2015,Jan,2015,Kentucky,953771.16,447992.17,353406.65,28216.43,66369.09
2014-2015,Jan,2015,Louisiana,748610.18,2018042.62,1858418.17,144307.93,15316.52
2014-2015,Jan,2015,Maryland-Delaware,167631.05,409348.7,389495.2,13379.28,6474.22
2014-2015,Jan,2015,Michigan,34847.88,42671.35,35250.95,4860.82,2559.58
2014-2015,Jan,2015,Minnesota-Wisconsin,15439.74,79795.31,74860.19,1439.12,3496.0
2014-2015,Jan,2015,Mississippi,1145896.37,587737.0,518512.31,35129.34,34095.35
2014-2015,Jan,2015,Missouri,670058.86,871661.05,780213.49,52641.15,38806.41
2014-2015,Jan,2015,Montana,13949.8,18513.99,17620.11,410.6,483.28
2014-2015,Jan,2015,Nevada,33720.99,15593.35,12849.65,1589.25,1154.45
2014-2015,Jan,2015,New England,0.0,0.0,0.0,0.0,0.0
2014-2015,Jan,2015,New Mexico,100385.55,255103.83,238470.44,5816.86,10816.53
2014-2015,Jan,2015,New York,31086.18,58683.98,48577.86,8677.11,1429.01
2014-2015,Jan,2015,North Carolina,1264712.69,3630633.05,3448436.06,121456.24,60740.75
2014-2015,Jan,2015,Northwest,58863.4,133681.29,129009.91,2860.72,1810.66
2014-2015,Jan,2015,Ohio,86270.28,231860.53,215486.33,4778.71,11595.49
2014-2015,Jan,2015,Oklahoma,700320.57,0.0,0.0,0.0,0.0
2014-2015,Jan,2015,Pennsylvania-South Jersey,22781.19,44291.04,38316.5,3845.77,2128.77
2014-2015,Jan,2015,Puerto Rico/Virgin Islands,0.0,0.0,0.0,0.0,0.0
2014-2015,Jan,2015,South Carolina,1307663.11,2017241.45,1812943.06,123980.81,80317.58
2014-2015,Jan,2015,Tennessee,1403656.28,1436968.5,1250324.13,90554.0,96090.37
2014-2015,Jan,2015,Texas - BGCT,487110.12,824151.02,668795.73,88316.68,67038.61
2014-2015,Jan,2015,Texas - SBTC,1698593.51,1407903.39,1140141.12,232752.0,35010.27
2014-2015,Jan,2015,Utah - Idaho,12534.83,10873.22,7394.8,2971.75,506.67
2014-2015,Jan,2015,Virginia - BGAV,166695.56,845652.22,780056.8,23246.36,42349.06
2014-2015,Jan,2015,Virginia - SBCV,423173.48,1752667.97,1720060.2,13238.11,19369.66
2014-2015,Jan,2015,West Virginia,33341.58,50806.65,45772.15,2252.9,2781.6
2014-2015,Jan,2015,Wyoming,13945.96,4056.6,3162.8,793.8,100.0
2014-2015,Jan,2015,Churches & Individuals,407657.25,608741.73,378143.49,55910.17,174688.07
2014-2015,Feb,2015,Alabama,1456704.16,4424952.93,4207909.15,146028.35,71015.43
